date,open,high,low,close,unit_volume,bitmex_funding
20170504,1490.72,1608.91,1490.72,1537.67,607.1192076,-0.00711
20170505,1540.87,1618.03,1530.31,1555.45,608.2072506,0.0003
20170506,1556.81,1578.8,1542.5,1578.8,368.9700937,-0.001518
20170507,1579.47,1596.72,1559.76,1596.71,676.4095872,0.002412
20170508,1596.92,1723.35,1596.92,1723.35,777.7410276,0.01125
20170509,1723.89,1833.49,1716.3,1755.36,665.3450005,0.006264
20170510,1756.52,1788.44,1719.1,1787.13,512.3986548,0.003366
20170511,1780.37,1873.93,1755.35,1848.57,432.491052,-0.001245
20170512,1845.76,1856.15,1694.01,1724.24,429.7452791,0.007986
20170513,1723.12,1812.99,1651.08,1804.91,321.1434409,0.004461
20170514,1800.86,1831.42,1776.62,1808.91,241.6902997,0.004668
20170515,1808.44,1812.8,1708.54,1738.43,420.7986655,-0.00243
20170516,1741.7,1785.94,1686.54,1734.45,552.9389674,0.007398
20170517,1726.73,1864.05,1661.91,1839.09,578.9439255,0.01125
20170518,1818.7,1904.48,1807.12,1888.65,473.5239584,0.01125
20170519,1897.37,2004.52,1890.25,1987.71,582.2227508,0.01062
20170520,1984.24,2084.73,1974.92,2084.73,461.132137,0.0003
20170521,2067.03,2119.08,2037.5,2041.2,562.3456633,0.01125
20170522,2043.19,2303.9,2017.87,2173.4,893.6321119,0.01125
20170523,2191.56,2320.82,2178.5,2320.42,594.1812051,0.001416
20170524,2321.37,2523.72,2321.37,2443.64,706.0696207,0.005256
20170525,2446.24,2763.71,2285.3,2304.98,1044.130549,0.006351
20170526,2320.89,2573.79,2071.99,2202.42,800.7010761,-0.000126
20170527,2196.27,2260.2,1855.83,2038.87,834.030615,0
20170528,2054.08,2267.34,2054.08,2155.8,532.1179924,0.0003
20170529,2159.43,2307.05,2107.17,2255.61,440.9561156,0.001527
20170530,2255.36,2301.96,2124.57,2175.47,663.7508437,0.01125
20170531,2187.19,2311.08,2145.57,2286.41,675.6574508,-0.003135
20170601,2288.33,2448.39,2288.33,2407.88,686.5707726,0.0003
20170602,2404.03,2488.55,2373.32,2488.55,529.2359069,0.002673
20170603,2493.72,2581.91,2423.57,2515.35,602.281995,0.006297
20170604,2547.79,2585.89,2452.54,2511.81,539.4994048,0.00186
20170605,2512.4,2686.81,2510.22,2686.81,509.6415273,0.005673
20170606,2690.84,2999.91,2690.84,2863.2,729.8162839,0.01125
20170607,2869.38,2869.38,2700.56,2732.16,555.4981963,0.01125
20170608,2720.49,2815.3,2670.95,2805.62,456.6441813,0.0003
20170609,2807.44,2901.71,2795.62,2823.81,477.7056587,0.007212
20170610,2828.14,2950.99,2746.55,2947.71,684.9011551,0.000645
20170611,2942.41,2996.6,2840.53,2958.11,592.4052858,0.007263
20170612,2953.22,2997.26,2518.56,2659.63,966.1231495,0.005136
20170613,2680.91,2789.04,2650.38,2717.02,655.5711772,-0.001815
20170614,2716.88,2786.83,2412.94,2506.37,676.8992607,-0.007029
20170615,2499.58,2534.71,2212.96,2464.58,822.1522401,-0.01125
20170616,2469.57,2539.92,2385.15,2518.56,474.5529255,-0.01125
20170617,2514.01,2685.19,2484.96,2655.88,577.7783454,-0.007275
20170618,2655.35,2662.1,2516.33,2548.29,462.5297623,-0.001488
20170619,2549.03,2662.85,2549.03,2589.6,558.7117949,0.00066
20170620,2591.26,2763.45,2589.82,2721.79,681.2391669,0.000837
20170621,2709.43,2772.01,2660.4,2689.1,604.8789439,0.00228
20170622,2691.03,2723.74,2642.36,2705.41,405.831267,0.0003
20170623,2707.34,2765.17,2706.37,2744.91,350.2187598,0.00024
20170624,2738.52,2757.94,2583.19,2608.72,376.7173234,-0.001572
20170625,2607.25,2682.26,2552.12,2589.41,448.4033166,-0.004335
20170626,2590.57,2615.25,2376.29,2478.45,671.0968549,-0.005442
20170627,2478.45,2552.45,2332.99,2552.45,583.6705722,-0.005241
20170628,2553.03,2603.98,2484.42,2574.79,459.7928188,-0.010281
20170629,2567.56,2588.83,2510.48,2539.32,374.1076383,-0.010386
20170630,2539.24,2559.25,2478.43,2480.84,346.7668306,-0.003972
20170701,2492.6,2515.27,2419.23,2434.55,320.35242,-0.01125
20170702,2436.4,2514.28,2394.84,2506.47,320.6689121,-0.005571
20170703,2498.56,2595,2480.47,2564.06,376.0099218,0.0003
20170704,2561,2631.59,2559.35,2601.64,378.8056887,0.002451
20170705,2602.87,2622.65,2538.55,2601.99,361.8638104,-0.003369
20170706,2608.1,2616.72,2581.69,2608.56,292.0987027,-0.000717
20170707,2608.59,2916.14,2498.87,2518.66,364.2460546,-0.008457
20170708,2520.27,2571.34,2492.31,2571.34,285.193706,0.000255
20170709,2572.61,2635.49,2517.59,2518.44,209.5964168,-0.005643
20170710,2525.25,2537.16,2321.13,2372.56,468.3548572,-0.001917
20170711,2385.89,2413.47,2296.81,2337.79,568.8107144,-0.00234
20170712,2332.77,2423.71,2275.14,2398.84,465.8126628,0.0003
20170713,2402.7,2425.22,2340.83,2357.9,354.4552288,-0.005427
20170714,2360.59,2363.25,2183.22,2233.34,395.1494067,-0.004101
20170715,2230.12,2231.14,1990.41,1998.86,497.0873398,-0.004839
20170716,1991.98,2058.77,1843.03,1929.82,612.9431843,0.006531
20170717,1932.62,2230.49,1932.62,2228.41,539.290346,0.0003
20170718,2233.52,2387.61,2164.77,2318.88,652.2329952,0.0003
20170719,2323.08,2397.17,2260.23,2273.43,547.6746731,-0.003369
20170720,2269.89,2900.7,2269.89,2817.6,798.2893356,0.0003
20170721,2838.41,2838.41,2621.85,2667.76,558.3148349,0.0003
20170722,2668.63,2862.42,2657.71,2810.12,418.8895791,0.01125
20170723,2808.1,2832.18,2653.94,2730.4,392.9241137,-0.003051
20170724,2732.7,2777.26,2699.19,2754.86,314.5255962,0.0003
20170725,2757.5,2768.08,2480.96,2576.48,566.6995218,0.000906
20170726,2577.77,2610.76,2450.8,2529.45,370.595992,-0.005169
20170727,2538.71,2693.32,2529.34,2671.78,295.3476708,-0.003624
20170728,2679.73,2897.45,2679.73,2809.01,491.3118743,-0.002706
20170729,2807.02,2808.76,2692.8,2726.45,294.7957909,-0.005424
20170730,2724.39,2758.53,2644.85,2757.18,256.0380447,-0.009972
20170731,2763.24,2889.62,2720.61,2875.34,299.2950315,-0.008379
20170801,2871.3,2921.35,2685.61,2718.26,487.322755,-0.01125
20170802,2727.13,2762.53,2668.59,2710.67,403.940729,-0.002172
20170803,2709.56,2813.31,2685.14,2804.73,286.9427688,-0.000078
20170804,2806.93,2899.33,2743.72,2895.89,346.0490557,0.0003
20170805,2897.63,3290.01,2874.83,3252.91,598.1413467,0.01125
20170806,3257.61,3293.29,3155.6,3213.94,343.8240963,0.007761
20170807,3212.78,3397.68,3180.89,3378.94,438.6819346,0.002427
20170808,3370.22,3484.85,3345.83,3419.94,512.5119341,0.0003
20170809,3420.4,3422.76,3247.67,3342.47,439.4833761,0.0003
20170810,3341.84,3453.45,3319.47,3381.28,448.0877112,-0.00057
20170811,3373.82,3679.72,3372.12,3650.62,553.6566435,0.0003
20170812,3650.63,3949.92,3613.7,3884.71,571.3656587,-0.002574
20170813,3880.04,4208.39,3857.8,4073.26,775.5679529,0.006054
20170814,4066.1,4325.13,3989.16,4325.13,569.4834421,0.006786
20170815,4326.99,4455.97,3906.18,4181.93,779.0780927,0.004446
20170816,4200.34,4381.23,3994.42,4376.63,519.1300009,-0.001878
20170817,4384.44,4484.7,4243.71,4331.69,589.4604351,0.008955
20170818,4324.34,4370.13,4015.4,4160.62,707.0364705,0.0003
20170819,4137.75,4243.26,3970.55,4193.7,709.5929685,-0.003633
20170820,4189.31,4196.29,4069.88,4087.66,516.1314747,0.008202
20170821,4090.48,4109.14,3988.6,4001.74,699.9180636,0.000957
20170822,3998.35,4128.76,3674.58,4100.52,917.9908577,-0.01125
20170823,4089.01,4255.78,4078.41,4151.52,570.831865,0.005688
20170824,4137.6,4376.39,4130.26,4334.68,470.1039099,0.001431
20170825,4332.82,4455.7,4307.35,4371.6,395.271765,0.003606
20170826,4372.06,4379.28,4269.52,4352.4,347.3049315,-0.001863
20170827,4345.1,4416.59,4317.29,4382.88,350.7876027,0.001125
20170828,4384.45,4403.93,4224.64,4382.66,447.0641227,-0.005517
20170829,4389.21,4625.68,4352.13,4579.02,542.9283995,0.0003
20170830,4570.36,4626.52,4471.41,4565.3,424.4737441,0.00531
20170831,4555.59,4736.05,4549.4,4703.39,413.516644,0.001374
20170901,4701.76,4892.01,4678.53,4892.01,531.290806,0.0003
20170902,4901.42,4975.04,4469.24,4578.77,594.5133527,-0.000066
20170903,4585.27,4714.08,4417.59,4582.96,421.8212718,0.0003
20170904,4591.63,4591.63,4108.4,4236.31,705.1726734,-0.004842
20170905,4228.29,4427.84,3998.11,4376.53,616.4632529,-0.01125
20170906,4376.59,4617.25,4376.59,4597.12,472.4914938,-0.004491
20170907,4589.14,4655.04,4491.33,4599.88,401.014816,0.000405
20170908,4605.16,4661,4075.18,4228.75,638.697041,0.0003
20170909,4229.81,4308.82,4114.11,4226.06,328.0194829,-0.009033
20170910,4229.34,4245.44,3951.04,4122.94,407.2555138,-0.01095
20170911,4122.47,4261.67,4099.4,4161.27,374.2439323,0.0003
20170912,4168.88,4344.65,4085.22,4130.81,451.3715344,-0.001356
20170913,4131.98,4131.98,3789.92,3882.59,571.6312874,-0.006051
20170914,3875.37,3920.6,3153.86,3154.95,860.9676908,-0.005601
20170915,3166.3,3733.45,2946.62,3637.52,1140.356586,-0.003522
20170916,3637.75,3808.84,3487.79,3625.04,501.6220511,-0.01125
20170917,3606.28,3664.81,3445.64,3582.88,345.8530434,0.0003
20170918,3591.09,4079.23,3591.09,4065.2,478.010918,0.0006
20170919,4073.79,4094.07,3868.87,3924.97,398.4692958,0.000057
20170920,3916.36,4031.39,3857.73,3905.95,310.7643508,-0.000597
20170921,3901.47,3916.42,3613.63,3631.04,388.7261126,-0.003105
20170922,3628.02,3758.27,3553.53,3630.7,329.0907957,-0.00558
20170923,3629.92,3819.21,3594.58,3792.4,244.7299821,0.0003
